_id,Titles,Dates,Runtimes,Ratings
175,Warrior,2011,2h 20m,PG-13
176,Catch Me If You Can,2002,2h 21m,PG-13
177,Godzilla Minus One,2023,2h 4m,PG-13
178,Gran Torino,2008,1h 56m,R
179,My Neighbor Totoro,1988,1h 26m,G
180,Million Dollar Baby,2004,2h 12m,PG-13
181,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13
182,Children of Heaven,1997,1h 29m,PG
183,12 Years a Slave,2013,2h 14m,R
184,Blade Runner,1982,1h 57m,R
185,Before Sunrise,1995,1h 41m,R
186,The Grand Budapest Hotel,2014,1h 39m,R
187,Ben-Hur,1959,3h 32m,G
188,Barry Lyndon,1975,3h 5m,PG
189,Gone Girl,2014,2h 29m,R
190,Hacksaw Ridge,2016,2h 19m,R
191,The Gold Rush,1925,1h 35m,Passed
192,In the Name of the Father,1993,2h 13m,R
193,Memories of Murder,2003,2h 12m,Not Rated
194,Dead Poets Society,1989,2h 8m,PG
195,On the Waterfront,1954,1h 48m,Approved
196,The General,1926,1h 18m,Passed
197,The Deer Hunter,1978,3h 3m,R
198,Wild Tales,2014,2h 2m,R
199,Mad Max: Fury Road,2015,2h,R
200,"Monsters, Inc.",2001,1h 32m,G
201,Sherlock Jr.,1924,45m,Passed
202,The Third Man,1949,1h 33m,Approved
203,Wild Strawberries,1957,1h 31m,Not Rated
204,The Wages of Fear,1953,2h 11m,Not Rated
205,Jaws,1975,2h 4m,PG
206,How to Train Your Dragon,2010,1h 38m,PG
207,Mary and Max,2009,1h 32m,Not Rated
208,Mr. Smith Goes to Washington,1939,2h 9m,Passed
209,Ford v Ferrari,2019,2h 32m,PG-13
210,Ratatouille,2007,1h 51m,G
211,The Seventh Seal,1957,1h 36m,Not Rated
212,Room,2015,1h 58m,R
213,The Big Lebowski,1998,1h 57m,R
214,Tokyo Story,1953,2h 16m,Not Rated
215,Rocky,1976,2h,PG
216,Logan,2017,2h 17m,R
217,Spotlight,2015,2h 9m,R
218,Hotel Rwanda,2004,2h 1m,PG-13
219,Platoon,1986,2h,R
220,The Terminator,1984,1h 47m,R
221,The Passion of Joan of Arc,1928,1h 54m,Passed
222,Before Sunset,2004,1h 20m,R
223,La haine,1995,1h 38m,Not Rated
224,The Best Years of Our Lives,1946,2h 50m,Approved
225,Jai Bhim,2021,2h 44m,8.7 (217K)Rate
226,The Exorcist,1973,2h 2m,R
227,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13
228,Rush,2013,2h 3m,R
229,Network,1976,2h 1m,R
230,Stand by Me,1986,1h 29m,R
231,The Wizard of Oz,1939,1h 42m,G
232,The Incredibles,2004,1h 55m,PG
233,Hachi: A Dog's Tale,2009,1h 33m,G
234,Into the Wild,2007,2h 28m,R
235,My Father and My Son,2005,1h 52m,Not Rated
236,The Handmaiden,2016,2h 25m,Not Rated
237,The Sound of Music,1965,2h 52m,G
238,To Be or Not to Be,1942,1h 39m,Passed
239,The Grapes of Wrath,1940,2h 9m,Passed
240,The Battle of Algiers,1966,2h 1m,Not Rated
241,Groundhog Day,1993,1h 41m,PG
242,Amores Perros,2000,2h 34m,R
243,Rebecca,1940,2h 10m,Approved
244,Cool Hand Luke,1967,2h 7m,GP
245,The Iron Giant,1999,1h 26m,PG
246,The Help,2011,2h 26m,PG-13
247,It Happened One Night,1934,1h 45m,Passed
248,Dances with Wolves,1990,3h 1m,PG-13
249,Aladdin,1992,1h 30m,G
250,"Paris, Texas",1984,2h 25m,R
